Category,Responsible Office,Question,Answer
"Admission, Registration & Records",Registrar,Where can I register for my courses?,Course registration is done online via the student portal.
"Admission, Registration & Records",Registrar,Where do I register for my courses?,Course registration is done online via the student portal.
"Admission, Registration & Records",Registrar,Who can help me register for my courses?,Course registration is done online via the student portal.
"Admission, Registration & Records",Registrar,Which office should I contact to register for my courses?,Course registration is done online via the student portal.
"Admission, Registration & Records",Registrar,Why can’t I register for a course?,"Due to unmet prerequisites, full classes, or system restrictions."
"Admission, Registration & Records",Registrar,What is the reason can’t I register for a course?,"Due to unmet prerequisites, full classes, or system restrictions."
"Admission, Registration & Records",Registrar,Why is it that can’t I register for a course?,"Due to unmet prerequisites, full classes, or system restrictions."
"Admission, Registration & Records",Registrar,What could cause can’t I register for a course?,"Due to unmet prerequisites, full classes, or system restrictions."
"Admission, Registration & Records",Registrar,How do I drop or add a course?,Done online within the add/drop period.
"Admission, Registration & Records",Registrar,How can I drop or add a course?,Done online within the add/drop period.
"Admission, Registration & Records",Registrar,What is the process to drop or add a course?,Done online within the add/drop period.
"Admission, Registration & Records",Registrar,What should I do to drop or add a course?,Done online within the add/drop period.
"Admission, Registration & Records",Registrar,Why is the registration system not working?,Could be due to system maintenance or high traffic.
"Admission, Registration & Records",Registrar,What is the reason is the registration system not working?,Could be due to system maintenance or high traffic.
"Admission, Registration & Records",Registrar,Why is it that is the registration system not working?,Could be due to system maintenance or high traffic.
"Admission, Registration & Records",Registrar,What could cause is the registration system not working?,Could be due to system maintenance or high traffic.
"Admission, Registration & Records",Registrar,Can I register late?,Late registration may be allowed with penalty or approval.
"Admission, Registration & Records",Registrar,Am I allowed to register late?,Late registration may be allowed with penalty or approval.
"Admission, Registration & Records",Registrar,Is it possible to register late?,Late registration may be allowed with penalty or approval.
"Admission, Registration & Records",Registrar,May I register late?,Late registration may be allowed with penalty or approval.
"Admission, Registration & Records",Registrar,How many courses can I take per semester?,Depends on program rules and credit limits.
"Admission, Registration & Records",Registrar,Could you clarify How many courses can I take per semester?,Depends on program rules and credit limits.
"Admission, Registration & Records",Registrar,I want to know How many courses can I take per semester?,Depends on program rules and credit limits.
"Admission, Registration & Records",Registrar,Can you guide me on How many courses can I take per semester?,Depends on program rules and credit limits.
"Admission, Registration & Records",Registrar,How can I get my transcript?,Request submitted online; processed in a few days.
"Admission, Registration & Records",Registrar,How do I get my transcript?,Request submitted online; processed in a few days.
"Admission, Registration & Records",Registrar,What is the process to get my transcript?,Request submitted online; processed in a few days.
"Admission, Registration & Records",Registrar,What should I do to get my transcript?,Request submitted online; processed in a few days.
"Admission, Registration & Records",Registrar,Can I download my transcript online?,Unofficial transcripts are available instantly online.
"Admission, Registration & Records",Registrar,Am I allowed to download my transcript online?,Unofficial transcripts are available instantly online.
